Andy,,Unnamed: 0,tweet
2,12247,12558,Kiss imik this bitch just added another 50 seconds to her story I think its a new record.
2,11815,12115,Inde jus got me all hype at work!! I knew my bitch Candace ain't die
2,6814,7005,@panchoftf red and yellow it should be then
2,11448,11741,"I, for one, welcome our new Eastern Panhandle overlords, and hope they do a better job than the yokels who got us here in the first place."
2,6944,7139,@ronsonsolaqa I love you too pussy.... Lmaooo
2,3077,3155,@DrunkAtChurch @MzYummyDread Slide up on a bad bitch/Dat bitch look good
2,7095,7293,@strawberrycoca ling ling krunkchip
2,6977,7173,@saucygyro she's a dyke &amp; looks like she's 12
2,18900,19319,RT @dnumberbefore_2: She used to be more fun as a hoe ..this new you is to positive
1,18131,18536,"RT @YUNGRAJEE: No nigga ever ask before he hit either &#8220;@jaybeeTRENDz: Body counts don't matter ! YALL treat all bitches the same anyway, st&#8230;"
2,1113,1137,"&#8220;@AshlynWynns: I'm a ""mud shark"" because I have black friends. Makes perfect sense. &#128514;&#128557;&#128514;&#128557; #idiotic&#8221; @"
2,20838,21289,Shylock &amp; Wongs: 3 Incidents of Democrat Bigotry In 3 Weeks - Media Mum http://t.co/rX8ynPg1Yd via @BreitbartNews
2,20905,21356,Smile at the bitches who hate you.
2,20658,21106,See niggas they be mad and all these hoes go &#128584;
2,6448,6631,@kieffer_jason bitch wtf r u talking about and why tf r u still talking shit but not doing no action no thank for proving my point pussy boy
2,17581,17980,RT @Teamadeezy: Niggas is hoes 2
1,6914,7109,@rellyOnSMASH @LiveAndUncut my bitch do all that and still go out
1,5505,5663,@allsportsbruh you say waste a draft pick on Manziel when we have Mallet. that's why I'm telling you to delete your account. You're retarded
2,1202,1228,&#8220;@Condeezy3: What to do after the game....home alone and nothing to do...someone come chill?:) maybe go swimm&#8221; ima do ya bitch
2,10039,10312,I be chillin wit the bitches cuz a lotta niccas fake
1,23834,24331,fuck her rite in the pussy
2,14656,15006,RT @Chayeezy: When a bitch got you fucked up but you devoted your life to the Lord so you gotta stand there like you aint mad http://t.co/7&#8230;
1,18795,19211,RT @corey_emanuel: &#128557;&#128557;&#128557;&#128557; RT @ivyleague1908: SHAT!!!!!! RT @DirtRoadDon: When Deltas smell they own pussy http://t.co/3LojKQM8ZG
1,17098,17488,RT @RickRaze: Why would I be in a relationship theses hoes go still do them &#128514;&#128175;
2,8608,8845,"Damn ""@JonnieSantana: It's kinda trash man RT ""@80sbaby4life: How many of you actually have had a threesome. Honestly"""""
1,2579,2636,@Benny_Balboa not to yall thou! Yalll fucking glad bag trash
2,6415,6598,@kieffer_jason @someone yea it's very true bitch
2,23804,24299,"everybody fuckin everybody bitch everybody wit the shits, thats lifee"
2,2662,2725,@BradMich4Real thats shit gon be the death of these hoes...ion like it...
2,19721,20158,"RT @murrman5: ""Hun, I'm quitting my job and going to learn to become a psychic. Now I know what you're thinking, well not yet. I'm going to&#8230;"
2,22181,22650,Thursdays really been trash this season @nfl
2,19509,19942,RT @letsargueboxing: @staycoolwheels screaming like a little bitch lmaooo
2,2388,2437,@Alan_Casillas haha shit niggah i wish
2,13195,13520,Nah we still up. RT @Tweets_NOchill: All the flat booty bitches asleep yet or Nah?
1,9406,9664,Get these hoe ass fuckboys off the stage. #VMAs
2,6285,6466,@josephljenkins Have heard some hillbilly grumblings that bugs worse in recent years because of MIC shutdown.
1,17104,17495,RT @RihannaHasAids: aight game over. dykes had to ruin it http://t.co/o0CAn6gb1p
2,7001,7197,@seansteiger31 yea cause I showed ya bitch ass
2,20668,21117,Seeing elder queer couples marry really is emotional. They get to live their final years with equality and with dignity.
2,18153,18558,"RT @Yankees: Gardy goes yardy again! He leads off the game with a HR for the second straight night, and it's 1-0 #Yankees!"
2,12184,12494,"KaasPiet,bloemPiet.?lol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet maken.Zolang maar blanke beslissing is"
2,16183,16553,RT @LettyBro_: Yall hoes super weakkkkkkkk
1,24752,25265,you ain't a real nigga without goal a to chase and a yellow bone bitch w/ some toes to paint
2,18081,18485,"RT @WolfpackAlan: Oreos: First you twist it, then you- aw crap, it broke."
2,23357,23843,You know what fuck that bitch and you didnt react? girl it's me and you
2,13430,13761,"Not ""us bitches"" &#128514;&#128514;&#128514;&#128514;&#128514;"
2,21649,22112,Them hoes look so clean on foot.
2,14091,14431,RT @ATL_PRiNCeSS: A real bitch know she gotta pluck dat nipple hair
2,16651,17034,"RT @NikoWavy: A lot of bitches like to gamble, but not with money. They put their emotions, feelings and heart on the line."
2,23950,24447,"http://t.co/4YyVxESnUR

The far left looks the best if you ask me, bitches try too hard. Just be yourself, especially if you're thick"
2,3470,3562,@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol
2,18049,18453,"RT @WhatTheFFacts: Actor Charlie Sheen once bought 2,600 seats at an Angels baseball game in hopes of catching a home run ball."
1,15769,16137,RT @JayOnDatAss: All these girls saying nobody can put em up with em. Dont no nigga want a bitch as a girlfriend fix that shit
2,13738,14074,"Out of day care, I'm taking a kitty nap on you hosers."
1,24265,24769,niggas ain't playin a gram of defense man George need to tell these bitch ass niggas man up
2,5333,5489,@_MckenzieNoel miss you bitch
2,7048,7245,@slayerific13 @daisymcgarr Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.
1,4388,4518,@ParhamBryce @lllexiss @lukejohnson06 @laurenbeckkkk1 alright then we'll in calling you a pussy also
2,19306,19735,RT @jaaayLENo: Dese hoes aint loyal @ Wal-Mart #TeamIgnant #hoodcomedy #flytv #LOLATL &#128514;&#128514;&#128514;&#128514; bruh https://t.co/3nKvBpR9qr
1,22611,23089,What mad cunt created masturbating? That dude needs a high 5...
2,21818,22284,These hoes worried bout the wrong things in life
2,9033,9285,FF has been consistently one of Marvel's worst properties. Ultimate FF was good; but the entire Ultimate universe is now in the trash.
1,19733,20171,RT @nateturnboy: You left prom camping first day cause you're a bitch boy.
